법정동,dong_lat,dong_long,school_dis
금호동1가,37.554697,127.023412,0.15706432673872692
금호동2가,37.552482,127.020133,0.19292048728030922
금호동3가,37.549504,127.021812,0.13252583150155048
금호동4가,37.547468,127.02006,0.2749366743830267
도선동,37.566613,127.029931,0.03893807669501489
마장동,37.567305,127.039084,0.20932727353483793
사근동,37.561371,127.046789,0.14623441068646703
상왕십리동,37.569332,127.025349,0.5244744335941188
성수동1가,37.543621,127.042815,0.5016939780633278
성수동2가,37.541123,127.056125,0.20079329795694945
송정동,37.552124,127.067652,0.3423826319530213
옥수동,37.542764,127.014662,0.23045210739656882
용답동,37.564354,127.052795,0.3491778403711091
응봉동,37.551169,127.031462,0.16846678888727187
하왕십리동,37.562462,127.029586,0.10462131201328892
행당동,37.559076,127.035869,0.13913080625969007
홍익동,37.56649,127.032354,0.18047616037301317
