학교명,주소,법정동,위도,경도
서울숭신초등학교,서울특별시 성동구 마장로 161,하왕십리동,37.5667563,127.0303341
행당중학교,서울특별시 성동구 왕십리로 189,행당동,37.5617004,127.0347032
한양대학교사범대학부속중학교,서울특별시 성동구 마조로 42,사근동,37.5612759,127.0438864
옥정중학교,서울특별시 성동구 한림말길 11,옥수동,37.54072,127.01423
성원중학교,서울특별시 성동구 성덕정9가길 13,성수동2가,37.5390567,127.0512473
성수중학교,서울특별시 성동구 서울숲길 18,성수동1가,37.54797,127.0413
무학중학교,서울특별시 성동구 행당로 120,행당동,37.555654,127.024965
마장중학교,서울특별시 성동구 마장로35나길 31,마장동,37.5689129,127.0403192
동마중학교,서울특별시 성동구 마조로11길 18,마장동,37.5617972,127.040221
광희중학교,서울특별시 성동구 독서당로62길 46,응봉동,37.5502277,127.0329594
경일중학교,서울특별시 성동구 성수일로 27,성수동1가,37.5469835,127.0509327
경수중학교,서울특별시 성동구 뚝섬로13길 14,성수동2가,37.5398453,127.0577343
한양초등학교,서울특별시 성동구 살곶이길 208,사근동,37.5539974,127.0413231
서울행현초등학교,서울특별시 성동구 행당로 95,행당동,37.555654,127.024965
서울행당초등학교,서울특별시 성동구 고산자로8길 6,행당동,37.5585626,127.0373084
서울응봉초등학교,서울특별시 성동구 독서당로62길 28,응봉동,37.5502277,127.0329594
서울용답초등학교,서울특별시 성동구 용답25길 1,용답동,37.5613595,127.0539878
서울옥정초등학교,서울특별시 성동구 한림말길 43,옥수동,37.54072,127.01423
서울옥수초등학교,서울특별시 성동구 금호로1길 25,금호동4가,37.5479869,127.0240138
서울송원초등학교,서울특별시 성동구 동일로43길 9,송정동,37.5546161,127.0699331
서울성수초등학교,서울특별시 성동구 아차산로17길 21,성수동2가,37.5442441,127.0634367
서울사근초등학교,서울특별시 성동구 사근동11길 16,사근동,37.5626184,127.0462635
서울무학초등학교,서울특별시 성동구 무학봉15길 21,하왕십리동,37.5626006,127.03076
서울마장초등학교,서울특별시 성동구 마장로35나길 31,마장동,37.5689129,127.0403192
서울동호초등학교,서울특별시 성동구 매봉길 49-35,옥수동,37.5464723,127.013359
서울동명초등학교,서울특별시 성동구 마장로29길 29,마장동,37.5675369,127.0363983
서울금호초등학교,서울특별시 성동구 무수막길 69,금호동2가,37.5509035,127.0231576
서울금옥초등학교,서울특별시 성동구 독서당로 251,금호동4가,37.5486196,127.0228197
서울금북초등학교,서울특별시 성동구 행당로1길 13,금호동1가,37.5560069,127.0240787
서울경일초등학교,서울특별시 성동구 뚝섬로 332,성수동1가,37.5427804,127.021923
서울경수초등학교,서울특별시 성동구 뚝섬로13길 22,성수동2가,37.5398453,127.0577343
서울경동초등학교,서울특별시 성동구 성수일로 34,성수동1가,37.5469835,127.0509327
금호고등학교,서울특별시 성동구 금호로 118,금호동1가,37.5534,127.02199
도선고등학교,서울특별시 성동구 마장로 156,하왕십리동,37.5667563,127.0303341
성수고등학교,서울특별시 성동구 서울숲길 18,성수동1가,37.54797,127.0413
서울방송고등학교,서울특별시 성동구 동호로5길 131,옥수동,37.547368,127.010631
덕수고등학교,서울특별시 성동구 왕십리로 199,행당동,37.5617004,127.0347032
한양대학교사범대학부속고등학교,서울특별시 성동구 마조로 42,사근동,37.5612759,127.0438864
경일고등학교,서울특별시 성동구 성수일로 27,성수동1가,37.5469835,127.0509327
성수공업고등학교,서울특별시 성동구 뚝섬로 365,성수동2가,37.5427804,127.021923
무학여자고등학교,서울특별시 성동구 고산자로 197,행당동,37.5713947,127.0378987
